"Date","Price","Open","High","Low","Vol.","Change %"
"19-05-2014","5,404.11","5,404.11","5,404.11","5,404.11","","0.11%"
"16-05-2014","5,398.13","5,398.13","5,398.13","5,398.13","","-0.19%"
"15-05-2014","5,408.65","5,408.65","5,408.65","5,408.65","","-0.90%"
"14-05-2014","5,457.90","5,457.90","5,457.90","5,457.90","","0.19%"
"13-05-2014","5,447.48","5,447.48","5,447.48","5,447.48","","0.99%"
"12-05-2014","5,394.15","5,394.15","5,394.15","5,394.15","","0.74%"
"09-05-2014","5,354.75","5,354.75","5,354.75","5,354.75","","0.48%"
"08-05-2014","5,329.23","5,329.23","5,329.23","5,329.23","","-10.05%"
"07-05-2014","5,924.53","5,924.53","5,924.53","5,924.53","","11.70%"
"06-05-2014","5,304.08","5,304.08","5,304.08","5,304.08","","0.40%"
"05-05-2014","5,283.15","5,283.15","5,283.15","5,283.15","","-0.96%"
"02-05-2014","5,334.62","5,334.62","5,334.62","5,334.62","","1.01%"
"30-04-2014","5,281.23","5,281.23","5,281.23","5,281.23","","-0.67%"
"29-04-2014","5,317.02","5,317.02","5,317.02","5,317.02","","-0.88%"
"28-04-2014","5,364.48","5,364.48","5,364.48","5,364.48","","0.11%"
"25-04-2014","5,358.82","5,358.82","5,358.82","5,358.82","","-0.71%"
"23-04-2014","5,397.31","5,397.31","5,397.31","5,397.31","","0.62%"
"22-04-2014","5,364.00","5,364.00","5,364.00","5,364.00","","-0.31%"
"21-04-2014","5,380.73","5,380.73","5,380.73","5,380.73","","1.40%"
"17-04-2014","5,306.33","5,306.33","5,306.33","5,306.33","","1.48%"
"16-04-2014","5,228.86","5,228.86","5,228.86","5,228.86","","-0.96%"
"15-04-2014","5,279.47","5,279.47","5,279.47","5,279.47","","-0.69%"
"11-04-2014","5,315.93","5,315.93","5,315.93","5,315.93","","0.30%"
"10-04-2014","5,299.87","5,299.87","5,299.87","5,299.87","","-0.70%"
"09-04-2014","5,337.13","5,337.13","5,337.13","5,337.13","","0.80%"
"07-04-2014","5,294.64","5,294.64","5,294.64","5,294.64","","-0.33%"
"04-04-2014","5,312.12","5,312.12","5,312.12","5,312.12","","-0.32%"
"03-04-2014","5,329.02","5,329.02","5,329.02","5,329.02","","-0.26%"
"02-04-2014","5,342.93","5,342.93","5,342.93","5,342.93","","1.36%"
"01-04-2014","5,271.06","5,271.06","5,271.06","5,271.06","","0.21%"
"31-03-2014","5,259.91","5,259.91","5,259.91","5,259.91","","0.06%"
"28-03-2014","5,256.70","5,256.70","5,256.70","5,256.70","","0.43%"
"27-03-2014","5,234.26","5,234.26","5,234.26","5,234.26","","-0.16%"
"26-03-2014","5,242.62","5,242.62","5,242.62","5,242.62","","-0.16%"
"25-03-2014","5,251.07","5,251.07","5,251.07","5,251.07","","0.41%"
"24-03-2014","5,229.39","5,229.39","5,229.39","5,229.39","","-1.07%"
"22-03-2014","5,286.06","5,286.06","5,286.06","5,286.06","","0.39%"
"21-03-2014","5,265.59","5,265.59","5,265.59","5,265.59","","0.68%"
"20-03-2014","5,230.22","5,230.22","5,230.22","5,230.22","","0.50%"
"19-03-2014","5,204.18","5,204.18","5,204.18","5,204.18","","-0.21%"
"18-03-2014","5,214.98","5,214.98","5,214.98","5,214.98","","0.77%"
"14-03-2014","5,175.03","5,175.03","5,175.03","5,175.03","","0.47%"
"13-03-2014","5,151.05","5,151.05","5,151.05","5,151.05","","-0.71%"
"12-03-2014","5,187.68","5,187.68","5,187.68","5,187.68","","0.26%"
"11-03-2014","5,174.48","5,174.48","5,174.48","5,174.48","","-0.49%"
"10-03-2014","5,200.14","5,200.14","5,200.14","5,200.14","","-1.00%"
"07-03-2014","5,252.76","5,252.76","5,252.76","5,252.76","","-1.81%"
"06-03-2014","5,349.65","5,349.65","5,349.65","5,349.65","","0.38%"
"05-03-2014","5,329.43","5,329.43","5,329.43","5,329.43","","0.50%"
"04-03-2014","5,303.05","5,303.05","5,303.05","5,303.05","","0.45%"
"03-03-2014","5,279.07","5,279.07","5,279.07","5,279.07","","0.01%"
"28-02-2014","5,278.28","5,278.28","5,278.28","5,278.28","","1.54%"
"26-02-2014","5,198.35","5,198.35","5,198.35","5,198.35","","0.16%"
"25-02-2014","5,190.20","5,190.20","5,190.20","5,190.20","","1.11%"
"24-02-2014","5,133.12","5,133.12","5,133.12","5,133.12","","0.05%"
"21-02-2014","5,130.66","5,130.66","5,130.66","5,130.66","","0.69%"
"20-02-2014","5,095.49","5,095.49","5,095.49","5,095.49","","0.11%"
"19-02-2014","5,090.05","5,090.05","5,090.05","5,090.05","","1.19%"
"18-02-2014","5,030.26","5,030.26","5,030.26","5,030.26","","0.66%"
"17-02-2014","4,997.11","4,997.11","4,997.11","4,997.11","","0.13%"
"14-02-2014","4,990.69","4,990.69","4,990.69","4,990.69","","0.21%"
"13-02-2014","4,980.46","4,980.46","4,980.46","4,980.46","","-1.02%"
"12-02-2014","5,031.75","5,031.75","5,031.75","5,031.75","","0.32%"
"11-02-2014","5,015.89","5,015.89","5,015.89","5,015.89","","0.88%"
"10-02-2014","4,972.05","4,972.05","4,972.05","4,972.05","","0.29%"
"07-02-2014","4,957.84","4,957.84","4,957.84","4,957.84","","0.22%"
"06-02-2014","4,946.79","4,946.79","4,946.79","4,946.79","","-0.09%"
"05-02-2014","4,951.41","4,951.41","4,951.41","4,951.41","","0.58%"
"04-02-2014","4,923.06","4,923.06","4,923.06","4,923.06","","0.26%"
"03-02-2014","4,910.16","4,910.16","4,910.16","4,910.16","","-0.31%"
"31-01-2014","4,925.55","4,925.55","4,925.55","4,925.55","","2.00%"
"30-01-2014","4,828.95","4,828.95","4,828.95","4,828.95","","-0.85%"
"29-01-2014","4,870.43","4,870.43","4,870.43","4,870.43","","0.18%"
"28-01-2014","4,861.53","4,861.53","4,861.53","4,861.53","","0.87%"
"27-01-2014","4,819.62","4,819.62","4,819.62","4,819.62","","-1.95%"
"24-01-2014","4,915.44","4,915.44","4,915.44","4,915.44","","-1.28%"
"23-01-2014","4,979.39","4,979.39","4,979.39","4,979.39","","-0.86%"
"22-01-2014","5,022.47","5,022.47","5,022.47","5,022.47","","-0.07%"
"21-01-2014","5,026.13","5,026.13","5,026.13","5,026.13","","1.11%"
"20-01-2014","4,970.75","4,970.75","4,970.75","4,970.75","","1.97%"
"17-01-2014","4,874.72","4,874.72","4,874.72","4,874.72","","-1.48%"
"16-01-2014","4,947.77","4,947.77","4,947.77","4,947.77","","-0.13%"
"15-01-2014","4,953.99","4,953.99","4,953.99","4,953.99","","-0.04%"
"14-01-2014","4,955.74","4,955.74","4,955.74","4,955.74","","-0.31%"
"13-01-2014","4,971.36","4,971.36","4,971.36","4,971.36","","0.75%"
"10-01-2014","4,934.28","4,934.28","4,934.28","4,934.28","","-0.15%"
"09-01-2014","4,941.53","4,941.53","4,941.53","4,941.53","","-0.26%"
"08-01-2014","4,954.24","4,954.24","4,954.24","4,954.24","","0.48%"
"07-01-2014","4,930.46","4,930.46","4,930.46","4,930.46","","-0.39%"
"06-01-2014","4,949.98","4,949.98","4,949.98","4,949.98","","0.45%"
"03-01-2014","4,928.01","4,928.01","4,928.01","4,928.01","","0.78%"
"02-01-2014","4,889.98","4,889.98","4,889.98","4,889.98","","-1.38%"
"01-01-2014","4,958.24","4,958.24","4,958.24","4,958.24","","0.56%"
"31-12-2013","4,930.49","4,930.49","4,930.49","4,930.49","","0.33%"
"30-12-2013","4,914.43","4,914.43","4,914.43","4,914.43","","-0.20%"
"27-12-2013","4,924.37","4,924.37","4,924.37","4,924.37","","0.33%"
"26-12-2013","4,908.26","4,908.26","4,908.26","4,908.26","","0.00%"
"24-12-2013","4,908.17","4,908.17","4,908.17","4,908.17","","0.28%"
"23-12-2013","4,894.42","4,894.42","4,894.42","4,894.42","","-0.19%"
"20-12-2013","4,903.96","4,903.96","4,903.96","4,903.96","","1.26%"
"19-12-2013","4,842.83","4,842.83","4,842.83","4,842.83","","0.45%"
"18-12-2013","4,821.09","4,821.09","4,821.09","4,821.09","","1.15%"
"17-12-2013","4,766.09","4,766.09","4,766.09","4,766.09","","0.14%"
"16-12-2013","4,759.60","4,759.60","4,759.60","4,759.60","","0.48%"
"13-12-2013","4,737.08","4,737.08","4,737.08","4,737.08","","-0.34%"
"12-12-2013","4,753.05","4,753.05","4,753.05","4,753.05","","-0.10%"
"11-12-2013","4,757.76","4,757.76","4,757.76","4,757.76","","-0.11%"
"10-12-2013","4,763.03","4,763.03","4,763.03","4,763.03","","-0.03%"
"09-12-2013","4,764.23","4,764.23","4,764.23","4,764.23","","0.29%"
"06-12-2013","4,750.65","4,750.65","4,750.65","4,750.65","","0.30%"
"05-12-2013","4,736.23","4,736.23","4,736.23","4,736.23","","-0.35%"
"04-12-2013","4,753.05","4,753.05","4,753.05","4,753.05","","-0.83%"
"03-12-2013","4,792.79","4,792.79","4,792.79","4,792.79","","-0.12%"
"02-12-2013","4,798.43","4,798.43","4,798.43","4,798.43","","1.20%"
"29-11-2013","4,741.64","4,741.64","4,741.64","4,741.64","","0.66%"
"28-11-2013","4,710.32","4,710.32","4,710.32","4,710.32","","0.35%"
"27-11-2013","4,693.86","4,693.86","4,693.86","4,693.86","","0.41%"
"26-11-2013","4,674.51","4,674.51","4,674.51","4,674.51","","0.08%"
"25-11-2013","4,670.79","4,670.79","4,670.79","4,670.79","","0.88%"
"22-11-2013","4,629.97","4,629.97","4,629.97","4,629.97","","0.10%"
"21-11-2013","4,625.41","4,625.41","4,625.41","4,625.41","","-1.29%"
"20-11-2013","4,686.08","4,686.08","4,686.08","4,686.08","","-0.70%"
