"Date","Price","Open","High","Low","Vol.","Change %"
"25-08-2022","169.69","172.96","172.96","168.98","48.60K","-0.57%"
"24-08-2022","170.67","171.48","171.48","169.21","198.42K","0.48%"
"23-08-2022","169.86","169.38","170.40","168.70","988.83K","0.28%"
"22-08-2022","169.38","172.98","172.98","168.61","32.52K","-1.20%"
"19-08-2022","171.43","173.98","173.98","170.50","75.25K","-0.69%"
"18-08-2022","172.62","172.45","172.65","170.10","15.80K","0.64%"
"17-08-2022","171.53","169.30","172.00","169.30","19.46K","0.38%"
"16-08-2022","170.88","169.50","171.20","168.10","31.00K","0.96%"
"12-08-2022","169.26","170.90","170.90","168.10","54.04K","-0.22%"
"11-08-2022","169.63","173.98","173.98","168.75","72.38K","0.16%"
"10-08-2022","169.36","171.38","171.38","168.80","139.59K","-0.02%"
"08-08-2022","169.39","168.74","170.00","168.43","35.16K","0.39%"
"05-08-2022","168.74","165.10","169.50","165.10","5.31K","0.43%"
"04-08-2022","168.02","169.45","169.45","166.34","27.58K","0.02%"
"03-08-2022","167.99","169.40","169.40","166.34","22.44K","-0.20%"
"02-08-2022","168.32","168.90","168.90","165.12","18.79K","0.21%"
"01-08-2022","167.97","167.90","168.00","165.55","31.54K","1.08%"
"29-07-2022","166.17","164.75","166.84","164.01","8.99K","1.37%"
"28-07-2022","163.92","164.28","164.28","162.28","6.77K","1.01%"
"27-07-2022","162.28","161.99","162.50","161.00","21.20K","0.61%"
"26-07-2022","161.29","162.35","162.35","161.00","3.36K","-1.09%"
"25-07-2022","163.06","163.62","164.75","162.10","85.44K","-0.34%"
"22-07-2022","163.62","165.95","165.95","162.10","77.11K","0.16%"
"21-07-2022","163.36","162.00","163.50","161.65","20.30K","1.34%"
"20-07-2022","161.20","162.45","162.99","161.01","39.42K","0.51%"
"19-07-2022","160.38","162.92","162.92","159.85","121.47K","0.08%"
"18-07-2022","160.25","159.99","161.40","159.20","46.90K","0.67%"
"15-07-2022","159.19","157.80","159.80","157.80","28.30K","0.79%"
"14-07-2022","157.94","137.40","158.99","137.40","4.21K","0.03%"
"13-07-2022","157.89","158.75","158.89","157.18","45.04K","0.34%"
"12-07-2022","157.35","159.97","159.97","157.00","40.19K","-0.91%"
"11-07-2022","158.80","158.67","159.45","157.02","75.58K","0.08%"
"08-07-2022","158.67","159.49","159.49","157.10","33.88K","0.63%"
"07-07-2022","157.67","158.45","158.49","155.20","13.30K","0.86%"
"06-07-2022","156.33","153.05","156.50","153.00","26.07K","1.13%"
"05-07-2022","154.59","156.90","156.90","153.70","21.97K","-0.04%"
"04-07-2022","154.65","151.73","154.80","147.30","26.83K","1.92%"
"01-07-2022","151.73","151.84","152.95","150.79","125.51K","-0.07%"
"30-06-2022","151.84","153.98","153.98","151.30","97.24K","-0.37%"
"29-06-2022","152.40","154.48","154.48","147.30","27.28K","-0.74%"
"28-06-2022","153.53","154.50","154.50","152.34","15.53K","-0.62%"
"27-06-2022","154.49","153.25","155.80","153.25","110.34K","0.81%"
"24-06-2022","153.25","153.29","154.09","150.65","22.80K","0.70%"
"23-06-2022","152.18","151.95","152.35","149.99","87.32K","1.09%"
"22-06-2022","150.54","153.00","153.00","150.07","8.34K","-1.36%"
"21-06-2022","152.61","150.98","152.95","150.00","31.96K","2.31%"
"20-06-2022","149.16","149.80","149.85","148.00","37.94K","0.66%"
"17-06-2022","148.18","152.46","152.46","147.30","72.28K","-1.74%"
"16-06-2022","150.80","154.89","154.90","150.10","41.94K","-1.64%"
"15-06-2022","153.31","175.47","175.47","152.26","52.53K","0.37%"
"14-06-2022","152.75","153.70","153.98","151.80","62.27K","0.09%"
"13-06-2022","152.61","155.23","155.23","152.30","68.00K","-1.69%"
"10-06-2022","155.23","155.00","155.49","153.81","67.03K","-0.31%"
"09-06-2022","155.71","155.95","155.95","153.50","13.89K","0.65%"
"08-06-2022","154.71","156.99","156.99","153.71","51.57K","-0.28%"
"07-06-2022","155.14","158.75","158.75","154.90","23.90K","-1.53%"
"06-06-2022","157.55","159.90","159.90","156.42","12.76K","-0.53%"
"03-06-2022","158.39","162.95","162.95","158.00","32.44K","-1.01%"
"02-06-2022","160.01","160.95","160.95","158.60","15.14K","0.39%"
"01-06-2022","159.39","161.95","162.17","158.70","79.71K","-0.76%"
"31-05-2022","160.61","162.47","162.47","158.10","5.88K","0.21%"
"30-05-2022","160.28","158.38","160.45","156.32","35.25K","2.41%"
"27-05-2022","156.51","155.00","156.60","155.00","18.90K","1.01%"
"26-05-2022","154.94","153.46","155.25","152.26","55.51K","0.96%"
"25-05-2022","153.46","157.78","157.78","153.25","16.55K","-1.50%"
"24-05-2022","155.80","159.48","159.48","155.50","16.02K","-1.60%"
"23-05-2022","158.34","159.79","160.31","157.00","70.77K","0.31%"
"20-05-2022","157.85","154.70","158.80","154.01","81.18K","2.04%"
"19-05-2022","154.70","158.90","158.90","154.00","41.14K","-2.72%"
"18-05-2022","159.02","160.90","160.90","158.00","20.35K","0.52%"
"17-05-2022","158.19","157.39","158.36","154.95","99.33K","1.78%"
"16-05-2022","155.43","163.70","163.70","154.43","300.49K","-0.48%"
"13-05-2022","156.18","157.59","158.87","155.16","77.98K","0.55%"
"12-05-2022","155.33","158.95","158.95","154.31","162.38K","-1.35%"
"11-05-2022","157.45","159.97","159.97","155.50","33.33K","-0.40%"
"10-05-2022","158.08","159.00","159.75","157.11","27.61K","-0.41%"
"09-05-2022","158.73","160.98","163.28","157.97","117.55K","-0.79%"
"06-05-2022","159.99","163.80","164.49","159.65","64.89K","-2.36%"
"05-05-2022","163.85","168.90","168.90","163.66","27.59K","-0.21%"
"04-05-2022","164.19","169.90","169.98","163.66","70.58K","-2.24%"
"02-05-2022","167.96","184.70","184.70","166.80","9.98K","-0.88%"
"29-04-2022","169.45","176.99","177.70","168.50","40.47K","-0.46%"
"28-04-2022","170.23","170.58","171.48","168.33","36.88K","1.01%"
"27-04-2022","168.52","169.89","169.89","167.50","26.42K","-0.25%"
"26-04-2022","168.94","170.90","170.90","167.68","18.16K","0.76%"
"25-04-2022","167.67","170.95","170.98","167.10","48.15K","-1.32%"
"22-04-2022","169.91","172.48","172.48","168.71","178.93K","-0.64%"
"21-04-2022","171.00","172.40","172.40","168.42","24.67K","0.92%"
"20-04-2022","169.44","169.95","170.76","166.89","169.31K","1.42%"
"19-04-2022","167.06","173.69","173.69","166.21","78.07K","-2.71%"
"18-04-2022","171.72","173.00","173.00","168.35","31.36K","-0.71%"
"13-04-2022","172.94","173.38","174.85","172.13","27.93K","-0.08%"
"12-04-2022","173.08","175.90","176.81","172.00","67.28K","-0.98%"
"11-04-2022","174.80","177.99","177.99","173.75","20.50K","-0.28%"
"08-04-2022","175.29","174.98","175.32","172.80","31.53K","1.12%"
"07-04-2022","173.35","172.77","175.90","172.77","52.06K","-0.40%"
"06-04-2022","174.04","175.99","176.99","172.77","49.33K","-0.66%"
"05-04-2022","175.20","175.00","175.37","172.57","104.16K","1.04%"
"04-04-2022","173.40","173.75","174.98","170.85","80.52K","0.95%"
"01-04-2022","171.76","173.87","187.20","170.17","242.26K","0.66%"
"31-03-2022","170.63","171.80","172.30","170.00","10.97K","0.44%"
"30-03-2022","169.88","170.95","170.95","168.70","7.56K","0.82%"
"29-03-2022","168.50","168.69","168.97","167.51","51.49K","1.10%"
"28-03-2022","166.67","157.10","177.70","157.10","64.49K","-0.63%"
"25-03-2022","167.73","169.00","170.94","167.31","47.90K","-0.96%"
"24-03-2022","169.36","170.90","170.90","168.27","87.98K","0.04%"
"23-03-2022","169.29","171.98","171.98","168.60","30.89K","-0.25%"
"22-03-2022","169.71","172.99","172.99","166.71","85.87K","-0.22%"
"21-03-2022","170.09","174.79","174.97","169.69","38.22K","-1.38%"
"17-03-2022","172.47","172.45","172.95","170.51","181.79K","1.57%"
"16-03-2022","169.81","166.70","169.99","166.70","20.15K","1.87%"
"15-03-2022","166.70","168.80","169.97","166.10","89.77K","-0.36%"
"14-03-2022","167.30","167.90","167.90","165.46","49.23K","0.67%"
"11-03-2022","166.19","167.00","167.00","163.52","51.67K","0.37%"
"10-03-2022","165.58","165.95","166.49","162.75","19.11K","1.87%"
"09-03-2022","162.54","163.98","163.98","159.97","174.63K","1.61%"
"08-03-2022","159.97","159.80","159.99","157.25","546.52K","1.31%"
"07-03-2022","157.90","160.70","162.95","156.74","77.49K","-1.93%"
"04-03-2022","161.00","163.99","163.99","159.83","141.82K","-1.90%"
"03-03-2022","164.11","167.49","167.90","163.14","142.56K","-0.74%"
"02-03-2022","165.34","166.80","166.80","164.09","373.78K","-0.65%"
"28-02-2022","166.42","167.49","167.49","161.37","125.79K","1.00%"
"25-02-2022","164.77","164.90","169.00","161.25","299.41K","2.37%"
"24-02-2022","160.95","166.66","166.66","160.50","189.30K","-3.92%"
"23-02-2022","167.51","168.95","168.95","167.00","11.20K","0.25%"
"22-02-2022","167.09","176.89","176.89","164.90","16.18K","-0.55%"
"21-02-2022","168.01","171.50","171.50","165.50","6.72K","-0.33%"
"18-02-2022","168.56","169.00","170.74","168.00","7.90K","-0.41%"
"17-02-2022","169.25","170.00","171.45","167.25","47.24K","-0.05%"
"16-02-2022","169.34","171.49","171.50","168.50","32.40K","-0.01%"
"15-02-2022","169.35","167.49","169.54","165.35","72.81K","2.45%"
"14-02-2022","165.30","177.54","177.54","165.02","92.25K","-2.04%"
"11-02-2022","168.75","172.90","172.90","168.29","46.41K","-1.82%"
"10-02-2022","171.87","173.49","173.49","170.40","75.29K","0.27%"
"09-02-2022","171.41","170.00","172.99","169.81","89.75K","1.23%"
"08-02-2022","169.32","171.49","171.49","168.08","35.99K","-0.03%"
"07-02-2022","169.37","174.19","174.96","168.57","24.42K","-1.67%"
"04-02-2022","172.25","173.49","173.49","171.34","12.43K","0.53%"
"03-02-2022","171.34","172.90","174.96","171.30","60.27K","-1.08%"
"02-02-2022","173.21","173.95","173.95","171.54","26.52K","0.97%"
"01-02-2022","171.54","170.00","171.99","169.49","51.07K","1.32%"
"31-01-2022","169.31","170.49","170.49","163.40","177.22K","0.79%"
"28-01-2022","167.99","167.99","168.40","165.51","13.46K","1.66%"
"27-01-2022","165.25","170.49","171.01","163.71","137.71K","-2.47%"
"25-01-2022","169.43","170.99","170.99","168.00","178.62K","-0.27%"
"24-01-2022","169.89","175.19","175.19","169.80","169.97K","-2.14%"
"21-01-2022","173.61","177.90","177.90","172.42","42.68K","-1.47%"
"20-01-2022","176.20","179.59","179.59","176.05","19.53K","-0.70%"
"19-01-2022","177.45","180.99","180.99","177.25","23.65K","-1.14%"
"18-01-2022","179.50","184.50","184.50","179.21","97.80K","-1.90%"
"17-01-2022","182.98","178.80","189.70","178.80","68.98K","0.31%"
"14-01-2022","182.41","183.95","183.95","180.36","8.99K","0.16%"
"13-01-2022","182.12","184.89","184.89","181.40","52.94K","-0.38%"
"12-01-2022","182.81","183.50","183.50","181.25","22.16K","0.46%"
"11-01-2022","181.98","180.06","182.40","179.86","9.31K","0.39%"
"10-01-2022","181.27","183.29","197.60","165.00","33.56K","-0.03%"
"07-01-2022","181.33","179.80","181.60","178.55","9.60K","0.92%"
"06-01-2022","179.67","181.99","182.49","178.51","58.55K","-0.76%"
"05-01-2022","181.05","182.79","182.79","180.00","16.71K","-0.08%"
"04-01-2022","181.20","182.50","182.50","179.50","30.29K","0.21%"
"03-01-2022","180.82","181.90","182.50","179.70","31.78K","0.40%"
"31-12-2021","180.10","179.90","180.50","178.26","35.75K","1.12%"
"30-12-2021","178.10","177.25","178.99","176.55","15.96K","0.48%"
"29-12-2021","177.25","179.49","179.80","176.51","14.87K","-0.07%"
"28-12-2021","177.37","177.69","177.99","176.00","29.12K","1.11%"
"27-12-2021","175.42","176.99","177.90","172.80","14.25K","0.10%"
"24-12-2021","175.24","177.49","177.80","174.65","26.02K","0.11%"
"23-12-2021","175.05","175.59","175.98","173.51","45.27K","0.89%"
"22-12-2021","173.51","173.79","174.30","170.15","30.53K","1.05%"
"21-12-2021","171.71","172.99","173.00","169.55","28.65K","1.30%"
"20-12-2021","169.51","173.90","173.90","167.71","113.84K","-1.69%"
"17-12-2021","172.42","175.50","175.50","170.60","21.16K","-0.79%"
"16-12-2021","173.79","175.59","175.59","173.01","16.21K","0.00%"
