"Date","Price","Open","High","Low","Vol.","Change %"
"24-03-2021","9,925.25","10,116.70","10,164.35","9,897.85","109.64M","-2.58%"
"23-03-2021","10,187.65","10,183.65","10,265.00","10,167.20","104.76M","0.47%"
"22-03-2021","10,140.45","10,176.30","10,226.80","10,069.45","97.76M","-0.45%"
"19-03-2021","10,186.50","10,067.15","10,207.15","9,841.65","193.17M","0.42%"
"18-03-2021","10,143.95","10,251.95","10,345.20","10,039.55","149.40M","-0.15%"
"17-03-2021","10,159.10","10,369.75","10,378.80","10,133.90","101.84M","-1.85%"
"16-03-2021","10,350.80","10,378.30","10,401.25","10,301.70","76.20M","0.15%"
"15-03-2021","10,335.10","10,446.75","10,450.20","10,178.25","92.99M","-0.47%"
"12-03-2021","10,383.90","10,603.15","10,624.35","10,313.35","93.17M","-1.66%"
"10-03-2021","10,559.30","10,525.75","10,613.60","10,511.15","105.32M","0.91%"
"09-03-2021","10,464.25","10,572.65","10,621.45","10,381.60","128.78M","-0.41%"
"08-03-2021","10,507.35","10,597.80","10,632.10","10,488.40","129.96M","-0.16%"
"05-03-2021","10,524.40","10,558.15","10,663.75","10,488.85","143.55M","-0.95%"
"04-03-2021","10,625.75","10,559.40","10,710.10","10,514.30","110.35M","-0.44%"
"03-03-2021","10,673.10","10,819.05","10,820.40","10,640.15","145.08M","-0.66%"
"02-03-2021","10,744.05","10,491.80","10,766.70","10,419.75","203.85M","3.19%"
"01-03-2021","10,411.80","10,304.25","10,472.70","10,292.75","161.74M","2.38%"
"26-02-2021","10,169.90","10,368.75","10,450.95","10,110.50","171.21M","-3.12%"
"25-02-2021","10,497.95","10,488.60","10,537.55","10,411.15","125.53M","0.89%"
"24-02-2021","10,405.50","10,410.20","10,513.35","10,325.55","85.44M","0.25%"
"23-02-2021","10,379.55","10,343.55","10,423.25","10,205.85","212.14M","0.77%"
"22-02-2021","10,300.00","10,559.80","10,559.95","10,241.25","137.88M","-2.28%"
"19-02-2021","10,540.35","10,785.05","10,786.45","10,450.55","160.19M","-2.65%"
"18-02-2021","10,827.00","11,027.80","11,027.80","10,787.70","120.04M","-1.35%"
"17-02-2021","10,975.45","10,914.20","11,008.40","10,880.50","164.64M","0.28%"
"16-02-2021","10,944.90","11,005.50","11,034.05","10,881.40","145.88M","-0.10%"
