"Date","Price","Open","High","Low","Vol.","Change %"
"30-03-2021","6,761.80","6,755.30","6,779.50","6,706.35","600.86M","1.21%"
"26-03-2021","6,681.20","6,632.90","6,726.05","6,628.85","862.75M","1.99%"
"25-03-2021","6,550.95","6,715.95","6,720.15","6,475.55","1.23B","-2.15%"
"24-03-2021","6,694.65","6,833.10","6,877.85","6,678.90","533.97M","-2.45%"
"23-03-2021","6,862.70","6,824.55","6,882.45","6,817.25","544.92M","0.97%"
"22-03-2021","6,797.10","6,752.30","6,815.60","6,713.95","573.00M","0.65%"
"19-03-2021","6,753.25","6,596.25","6,772.30","6,468.05","954.03M","1.54%"
"18-03-2021","6,650.50","6,808.90","6,850.25","6,580.20","878.49M","-1.35%"
"17-03-2021","6,741.85","6,940.15","6,953.85","6,722.70","620.93M","-2.81%"
"16-03-2021","6,937.05","6,952.65","6,976.85","6,905.00","591.08M","0.15%"
"15-03-2021","6,926.95","7,004.20","7,004.20","6,812.75","696.56M","-0.54%"
"12-03-2021","6,964.75","7,059.40","7,089.70","6,931.45","792.82M","-0.46%"
"10-03-2021","6,996.95","6,992.75","7,019.80","6,945.65","533.80M","0.94%"
"09-03-2021","6,931.65","7,020.45","7,047.75","6,870.90","762.80M","-0.66%"
"08-03-2021","6,977.60","7,027.35","7,061.10","6,965.20","651.60M","0.18%"
"05-03-2021","6,964.85","7,138.30","7,149.85","6,913.15","951.85M","-2.79%"
"04-03-2021","7,165.00","7,075.70","7,208.90","7,047.00","1.01B","0.20%"
"03-03-2021","7,151.05","7,097.65","7,162.60","7,081.45","883.59M","1.68%"
"02-03-2021","7,033.05","6,964.75","7,046.45","6,951.25","988.87M","1.72%"
"01-03-2021","6,914.00","6,859.30","6,929.60","6,827.15","799.03M","1.73%"
"26-02-2021","6,796.50","6,853.90","6,934.70","6,744.55","1.20B","-2.34%"
"25-02-2021","6,959.60","6,893.00","6,976.00","6,890.65","1.13B","2.12%"
"24-02-2021","6,815.40","6,800.25","6,828.20","6,746.60","649.88M","0.78%"
"23-02-2021","6,762.95","6,698.95","6,782.15","6,638.20","808.90M","1.46%"
"22-02-2021","6,665.85","6,785.45","6,812.65","6,627.45","873.25M","-1.51%"
"19-02-2021","6,767.75","6,916.20","6,945.55","6,688.75","1.31B","-2.30%"
"18-02-2021","6,927.15","6,939.45","6,972.65","6,895.10","1.03B","0.28%"
"17-02-2021","6,907.60","6,876.05","6,945.75","6,862.15","991.30M","0.32%"
"16-02-2021","6,885.50","6,883.45","6,922.25","6,821.60","847.24M","0.38%"
"15-02-2021","6,859.65","6,781.85","6,876.90","6,765.55","871.12M","1.79%"
"12-02-2021","6,739.10","6,761.40","6,795.60","6,702.25","896.52M","-0.29%"
"11-02-2021","6,758.45","6,732.70","6,782.45","6,723.50","936.18M","0.13%"
"10-02-2021","6,749.95","6,693.60","6,769.15","6,650.05","741.91M","1.14%"
"09-02-2021","6,674.15","6,721.45","6,748.60","6,642.05","892.23M","-0.32%"
"08-02-2021","6,695.90","6,634.55","6,710.20","6,632.35","764.64M","1.74%"
"05-02-2021","6,581.40","6,745.20","6,771.40","6,550.80","1.09B","-1.75%"
"04-02-2021","6,698.35","6,596.70","6,713.40","6,559.80","1.06B","1.73%"
"03-02-2021","6,584.60","6,518.35","6,642.90","6,457.10","1.10B","1.79%"
"02-02-2021","6,468.70","6,349.45","6,489.15","6,345.60","997.10M","3.01%"
"01-02-2021","6,279.45","6,041.55","6,293.75","5,946.50","1.11B","4.61%"
"29-01-2021","6,002.65","6,119.90","6,160.75","5,977.50","1.08B","-0.72%"
"28-01-2021","6,046.30","5,971.50","6,096.95","5,968.85","1.12B","-0.38%"
"27-01-2021","6,069.15","6,180.20","6,181.15","6,055.10","1.02B","-1.85%"
"25-01-2021","6,183.60","6,326.10","6,352.20","6,120.45","1.02B","-0.97%"
"22-01-2021","6,244.00","6,346.55","6,399.90","6,209.20","1.12B","-1.39%"
"21-01-2021","6,331.75","6,486.40","6,512.60","6,291.50","867.05M","-1.64%"
"20-01-2021","6,437.15","6,367.15","6,444.10","6,352.15","741.24M","1.42%"
"19-01-2021","6,347.30","6,209.05","6,361.85","6,207.70","761.44M","2.97%"
"18-01-2021","6,164.40","6,330.15","6,331.60","6,106.55","1.07B","-2.59%"
"15-01-2021","6,328.30","6,404.20","6,438.00","6,252.45","2.04B","-0.98%"
"14-01-2021","6,390.90","6,398.80","6,424.55","6,345.75","866.59M","0.09%"
"13-01-2021","6,385.15","6,472.35","6,504.75","6,275.30","1.41B","-0.66%"
"12-01-2021","6,427.70","6,347.05","6,460.10","6,322.65","985.03M","1.07%"
"11-01-2021","6,359.75","6,420.00","6,428.35","6,302.30","663.36M","-0.47%"
