"Date","Price","Open","High","Low","Change %"
"27-06-2019","6.287","6.312","6.314","6.267","-0.02%"
"26-06-2019","6.288","6.281","6.302","6.268","0.74%"
"25-06-2019","6.242","6.235","6.262","6.223","0.42%"
"24-06-2019","6.216","6.216","6.237","6.196","-0.03%"
"21-06-2019","6.218","6.211","6.244","6.184","0.48%"
"20-06-2019","6.188","6.188","6.221","6.161","-0.98%"
"19-06-2019","6.249","6.242","6.249","6.222","0.63%"
"18-06-2019","6.210","6.237","6.310","6.203","-0.45%"
"17-06-2019","6.238","6.291","6.318","6.225","0.31%"
"14-06-2019","6.219","6.285","6.292","6.219","-1.00%"
"13-06-2019","6.282","6.295","6.295","6.282","-0.22%"
"12-06-2019","6.296","6.309","6.309","6.283","-0.02%"
"11-06-2019","6.297","6.304","6.330","6.297","0.08%"
"10-06-2019","6.292","6.298","6.555","6.292","0.30%"
"07-06-2019","6.273","6.431","6.431","6.273","-0.05%"
"06-06-2019","6.276","6.348","6.348","6.237","-1.06%"
"04-06-2019","6.343","6.434","6.434","6.343","-0.22%"
"03-06-2019","6.357","6.370","6.403","6.335","-0.63%"
"31-05-2019","6.397","6.436","6.449","6.378","-0.85%"
"30-05-2019","6.452","6.471","6.471","6.449","-0.60%"
"29-05-2019","6.491","6.471","6.491","6.458","0.40%"
"28-05-2019","6.465","6.485","6.493","6.464","-0.42%"
"27-05-2019","6.492","6.498","6.498","6.473","-0.11%"
"24-05-2019","6.499","6.538","6.538","6.499","-0.14%"
"23-05-2019","6.508","6.540","6.540","6.501","-0.31%"
"22-05-2019","6.528","6.605","6.605","6.528","-0.11%"
"21-05-2019","6.535","6.573","6.573","6.535","-0.11%"
"20-05-2019","6.542","6.593","6.593","6.542","-0.79%"
"17-05-2019","6.594","6.638","6.638","6.594","-0.12%"
"16-05-2019","6.602","6.703","6.703","6.602","-0.11%"
"15-05-2019","6.609","6.672","6.672","6.609","-0.20%"
"14-05-2019","6.622","6.609","6.641","6.587","-0.11%"
"13-05-2019","6.629","6.768","6.768","6.629","-1.32%"
"10-05-2019","6.718","6.737","6.737","6.718","0.07%"
"09-05-2019","6.713","6.757","6.763","6.706","0.00%"
"08-05-2019","6.713","6.745","6.745","6.713","0.00%"
"07-05-2019","6.713","6.783","6.783","6.713","-0.01%"
"06-05-2019","6.714","6.783","6.783","6.714","-0.61%"
"03-05-2019","6.755","6.727","6.796","6.720","0.69%"
"02-05-2019","6.709","6.740","6.822","6.709","-0.19%"
"30-04-2019","6.722","6.710","6.884","6.710","-0.65%"
"26-04-2019","6.766","6.785","6.798","6.760","0.06%"
"25-04-2019","6.762","6.805","6.836","6.762","0.46%"
"24-04-2019","6.731","6.805","6.805","6.731","-0.46%"
"23-04-2019","6.762","6.805","6.898","6.762","0.09%"
"22-04-2019","6.756","6.991","6.991","6.756","0.45%"
"18-04-2019","6.726","6.806","6.806","6.724","0.25%"
"16-04-2019","6.709","6.697","6.807","6.685","0.16%"
"15-04-2019","6.698","6.698","6.698","6.674","-0.01%"
"12-04-2019","6.699","6.687","6.765","6.679","0.53%"
"11-04-2019","6.664","6.718","6.718","6.664","0.27%"
"10-04-2019","6.646","6.809","6.809","6.646","-0.20%"
"09-04-2019","6.659","6.840","6.840","6.659","0.73%"
"08-04-2019","6.611","6.750","6.750","6.611","0.62%"
"05-04-2019","6.570","6.570","6.630","6.570","-0.03%"
"04-04-2019","6.572","6.512","6.691","6.512","1.37%"
"03-04-2019","6.483","6.543","6.567","6.483","-0.02%"
"02-04-2019","6.484","6.532","6.532","6.484","-0.48%"
"29-03-2019","6.515","6.532","6.532","6.515","-0.56%"
"28-03-2019","6.552","6.576","6.605","6.552","-0.36%"
"27-03-2019","6.576","6.576","6.576","6.576","0.34%"
"26-03-2019","6.554","6.577","6.577","6.552","-0.18%"
"25-03-2019","6.566","6.607","6.607","6.554","-0.45%"
"22-03-2019","6.596","6.578","6.596","6.578","-0.03%"
"20-03-2019","6.598","6.598","6.598","6.598","-0.20%"
"19-03-2019","6.611","6.611","6.611","6.611","0.44%"
"18-03-2019","6.582","6.542","6.582","6.542","0.43%"
"15-03-2019","6.554","6.653","6.663","6.554","-0.91%"
"14-03-2019","6.614","6.620","6.631","6.597","-1.14%"
"13-03-2019","6.690","6.690","6.690","6.690","1.04%"
"12-03-2019","6.621","6.656","6.656","6.621","-0.02%"
"11-03-2019","6.622","6.622","6.679","6.622","-0.62%"
"08-03-2019","6.663","6.645","6.663","6.616","-0.36%"
"07-03-2019","6.687","6.676","6.687","6.676","-0.18%"
"06-03-2019","6.699","6.665","6.699","6.665","0.77%"
"05-03-2019","6.648","6.665","6.665","6.648","-0.43%"
"01-03-2019","6.677","6.749","6.749","6.677","-0.80%"
"28-02-2019","6.731","6.813","6.813","6.731","0.01%"
"27-02-2019","6.730","6.793","6.793","6.730","-0.31%"
"26-02-2019","6.751","6.794","6.808","6.751","0.55%"
"25-02-2019","6.714","6.810","6.810","6.714","0.13%"
"22-02-2019","6.705","6.907","6.907","6.705","-0.21%"
"21-02-2019","6.719","6.767","6.767","6.719","-0.01%"
"20-02-2019","6.720","6.768","6.768","6.720","-0.24%"
"18-02-2019","6.736","6.750","6.913","6.736","0.16%"
"15-02-2019","6.725","6.796","6.796","6.725","0.58%"
"14-02-2019","6.686","6.847","6.847","6.686","0.04%"
"13-02-2019","6.683","6.730","6.730","6.683","-1.47%"
"12-02-2019","6.783","6.921","6.921","6.779","-0.16%"
"11-02-2019","6.794","6.827","6.827","6.789","0.19%"
"08-02-2019","6.781","6.970","6.970","6.758","-0.54%"
"07-02-2019","6.818","6.879","6.879","6.818","-2.11%"
"06-02-2019","6.965","7.164","7.164","6.965","-0.49%"
"05-02-2019","6.999","7.047","7.047","6.999","-0.43%"
"04-02-2019","7.029","7.034","7.070","7.013","0.59%"
"01-02-2019","6.988","7.143","7.167","6.945","0.76%"
"31-01-2019","6.935","6.963","7.146","6.930","-0.42%"
"30-01-2019","6.964","6.983","7.006","6.964","0.00%"
